name,item_type,tags,depth,dmg,crit_chance,armour,dex_mod,int_mod,str_mod
Dagger,weapon,"[""pierce""]",1,1,10,0,,,
Stilletto,weapon,"[""pierce""]",2,3,15,0,2,,
Rapier,weapon,"[""pierce""]",3,4,20,0,2,,
Short Sword,weapon,"[""slash""]",1,1,5,,,,
Long Sword,weapon,"[""slash""]",2,2,5,0,,,
Axe,weapon,"[""slash""]",2,2,5,0,,,
Sythe,weapon,"[""slash""]",3,3,10,0,,,
Battle Axe,weapon,"[""slash"", ""heavy""]",4,5,10,0,-2,,
Spear,weapon,"[""pierce"", ""reach""]",2,3,10,0,,,
Club,weapon,"[""blunt""]",1,1,-5,0,,,
Mace,weapon,"[""blunt"",""heavy""]",2,3,0,0,,,
Flail,weapon,"[""blunt"",""heavy""]",3,4,5,0,-1,,
Robe,armour,"[""light""]",1,0,,1,1,,
Dragon Skin Robe,armour,"[""light""]",5,0,0,4,3,1,
Leather Armour,armour,"[""""]",1,0,,1,,,
Hardened Leather Armour,armour,"[""""]",2,0,,2,,,
Chain Mail ,armour,"[""""]",3,0,,3,-1,,
Plate Mail,armour,"[""heavy""]",4,0,,5,-2,,
Scale Mail,armour,"[""heavy""]",4,0,,6,-3,,
Golem Mail,armour,"[""heavy""]",5,0,-5,8,-4,-1,
Torch,utility,"[""light""]",1,0,,0,,,
Candle,utility,"[""ceremony"",""light""]",1,0,,0,,,
Rope,utility,"[""rope""]",1,0,,0,,,
Lockpick,utility,"[""lockpick""]",3,0,,0,,,
Ceremonial Blade,utility,"[""blood_ceremony""]",4,0,,0,,,
Amulet of Intelligence,amulet,"[""magic""]",3,0,,0,,2,
Amulet of Strength,amulet,"[""magic""]",3,0,,0,,,2
Amulet of Dexterity,amulet,"[""magic""]",3,0,,0,2,,
Amulet of Kings,amulet,"[""magic""]",4,0,,0,1,1,1
Amulet of Precision,amulet,"[""magic""]",4,0,20,0,0,0,0
Amulet of Hatred,amulet,"[""magic""]",4,3,,0,-1,-1,-1
Amulet of Ignorance,amulet,"[""magic""]",4,0,,0,0,-2,3
Halberd,weapon,"[""slash"",""heavy"",""reach""]",4,5,0,0,,,
Novitiate Staff,weapon,"[""blunt""]",3,1,0,0,,1,
Acolyte Staff,weapon,"[""blunt""]",4,2,0,0,,2,
Preist Staff,weapon,"[""blunt"",""holy""]",5,2,0,0,,4,
Whip,weapon,"[""slash""]",2,2,5,0,1,,
Barbed Whip,weapon,"[""slash"",""bleed"",""evil""]",4,4,10,0,1,,
Healing Salve,utility,"[""heal""]",1,5,,0,,,
Blessed Salve,utility,"[""heal""]",3,15,,0,,,
Holy Salve,utility,"[""heal""]",5,25,,0,,,
